English lemma,Swedish lemma,POS,status
,,,no translation
,,,no translation
,,,no translation
,,,no translation
"""""""a lot"""" """"lots of""""""","""""""mycket av"""" """"massor av""""""",,invalid characters in lemma
"""""""energy efficiency"""" """"energy-efficient""""""","""energieffektivisering/energieffektivitet """"energieffektiva""""""",,invalid characters in lemma
"""""""real time"""" real-time """,realtid,,invalid characters in lemma
"""ad hoc [latin: """"for this"""" ]""",till detta,,invalid characters in lemma
"""uncertainty","""osäkra",,invalid characters in lemma
graphical modeling project,,,no translation
federal information processing standards,,,no translation
* indicates that the classification is no longer used as of january 1991,,,no translation
** indicates that the classification is no longer used as of january 1998,,,no translation
3-tier web,,,no translation
3d/stereo scene analysis,scenanalys i 3d/stereo,,invalid characters in lemma
3rd generation partnership project,,,no translation
3rd generation partnership project,,,no translation
6lowpan,,,no translation
[fips-201] personal identity verification,,,no translation
aaa (authentication,aaa (autentisering,,invalid characters in lemma
abstract syntax notation.one,,,no translation
abstracting methods,,,no translation
acceleration|s,acceleration|er,,invalid characters in lemma
access methods,,,no translation
accommodate|s,ackommodera,,invalid characters in lemma
accreditation,ackreditering/godkännande,,invalid characters in lemma
accuracy,noggrannhet/exakthet,,invalid characters in lemma
accurate,ackurat/noggrann/exakt,,invalid characters in lemma
acoustic|s,akustik,,invalid characters in lemma
across,tvärs/över,,invalid characters in lemma
act acts acting,agera agerar agerar/agerande,,invalid characters in lemma
active management technology,,,no translation
actor|s,aktör|er,,invalid characters in lemma
adapter adapters adapt adapted adaptive adapting,adapter adaptrar anpassa anpassad adaptiv/anpassningsbar anpassning,,invalid characters in lemma
adaptive and iterative quadrature,,,no translation
address addressing addresses addressed addressable,adress/adressera adresserar adresser adresserade adresserbar,,invalid characters in lemma
adjustment,trimning/justering,,invalid characters in lemma
adopts adopted adoption adopting,antar antas/antog antagande antar,,invalid characters in lemma
advanced encryption standard,,,no translation
advanced metering infrastructure,,,no translation
affect|s,påverka|r,,invalid characters in lemma
agenda,agenda/dagordning,,invalid characters in lemma
agent agents,agent/representant/ombud,,invalid characters in lemma
aggregator,,,no translation
alert,alert/varna,,invalid characters in lemma
algebraic language theory,,,no translation
algorithm design and analysis,,,no translation
algorithms (f.2.1,algoritmer (f.2.1,,invalid characters in lemma
alignment,"""utstakning/rätning/""""i linje med""""""",,invalid characters in lemma
all digital phase-locked loop,,,no translation
allocation allocates allocated,allokering allokerar allokeras/allokerade,,invalid characters in lemma
allocation/deallocation strategies,,,no translation
allow allows allowed allowing,tillåta tillåter tillåtet/tillät tillåter,,invalid characters in lemma
alphabet,alfabet/bokstavs,,invalid characters in lemma
although,"""""""även om""""/fastän""",,invalid characters in lemma
amazon elastic compute cloud application programming interface,,,no translation
amendment|s,ändring|ar,,invalid characters in lemma
amount|s,belopp uppgår,,invalid characters in lemma
amusement,nöjen/underhållning,,invalid characters in lemma
analogical reasoning in computer concept,,,no translation
analogous,analog/likartad,,invalid characters in lemma
analysis of algorithms and problem complexity (6,analys av algoritmer och problemkomplexitet (6,,invalid characters in lemma
animations,,,no translation
announce announces announcement announcements announced announcer announcing,annonsera/meddela tillkännager meddelande meddelanden tillkännages speakern meddelar,,invalid characters in lemma
annoyed,irriterad/förargad,,invalid characters in lemma
answer answers answering answered,besvara svarar/svar svarar svarade/besvarats,,invalid characters in lemma
answer/reason extraction,extraktion av svar/härledning,,invalid characters in lemma
antenna array,antennrad/antennordning,,invalid characters in lemma
antenna|s,antenn antenner,,invalid characters in lemma
applications (smtp,tillämpningar (smtp,,invalid characters in lemma
applications and expert systems (h.4,tillämpningar och expertsystem (h.4,,invalid characters in lemma
applicative  programming,applikativ (funktionell programmering,,invalid characters in lemma
approximately,cirka/ungefär,,invalid characters in lemma
approximation,,,no translation
approximation of surfaces and contours,,,no translation
architectures,,,no translation
argument|s,argumentet/argument,,invalid characters in lemma
array and vector processors,,,no translation
arrayed waveguide grating,,,no translation
array|s,array|er,,invalid characters in lemma
arrival arrive arrives arriving,ankomst anlända/komma anländer anländer,,invalid characters in lemma
artificial,,,no translation
arts,sköna konsterna och dans/sång/teater,,invalid characters in lemma
assertion checkers,,,no translation
asset|s,tillgångs tillgångar,,invalid characters in lemma
assigns assigned assignment assignments,delar tilldelade tilldelning/uppdrag tilldelningar/uppdragen,,invalid characters in lemma
asymmetric digital subscriber line,,,no translation
asynchronous interaction,,,no translation
asynchronous/synchronous operation,asynkront/synkront funktionssätt,,invalid characters in lemma
attach/attaches attached attachment attachments,fästa/fäster bifogade bilaga bilagor,,invalid characters in lemma
audio input/output,,,no translation
auditory  feedback,,,no translation
autoconfiguration,autokonfiguration/självkonfiguration,,invalid characters in lemma
automata (e.g.,automater (t.ex. ändliga,,invalid characters in lemma
automatic differentiation,,,no translation
automatic programming (1.2,automatisk programmering (1.2,,invalid characters in lemma
automobile|s,bil|ar,,invalid characters in lemma
average averages averaging,genomsnittlig/genomsnittliga medelvärden medelvärdes,,invalid characters in lemma
backup/recovery,säkerhetskopiering och återställning,,invalid characters in lemma
badge|s,märke märken,,invalid characters in lemma
band|s,bandet banden,,invalid characters in lemma
baseboard management controller,,,no translation
bearer|s,bärare,,invalid characters in lemma
become|s becoming,bli|r blir,,invalid characters in lemma
begin began begins beginning,"""börja började börjar """"med början""""""",,invalid characters in lemma
behalf,vägnar/grund,,invalid characters in lemma
behavior /behaviour  behaviors,beteende beteenden,,invalid characters in lemma
benchmarking,,,no translation
big data,,,no translation
biographies/autobiographies,biografier/självbiografier,,invalid characters in lemma
bit error rate,,,no translation
block blocks blocking blocked,block/bunt blockera blockerar spärrad,,invalid characters in lemma
boating,"""båtliv/""""färdas med båt""""""",,invalid characters in lemma
boro method,,,no translation
bottle,flaska/butelj,,invalid characters in lemma
bottom up innovation,,,no translation
boundary value problems,,,no translation
bounded-action devices (e.g.,enheter med förutbestämda åtgärder (t.ex. turingmaskiner,,invalid characters in lemma
bread,,,no translation
breakdown,fördelning/sammanbrott,,invalid characters in lemma
bridge bridges bridged bridging,bro/överbrygga broar/överbrygga överbryggade överbryggande,,invalid characters in lemma
british standard institution,,,no translation
broadband wireless access,,,no translation
broadcast|s broadcasting broadcasters,sändning/sänder sändningsföretag,,invalid characters in lemma
broken,bruten/trasig,,invalid characters in lemma
budget,budget/budgetera,,invalid characters in lemma
buffering,buffring/buffertlagring/mellanlagring,,invalid characters in lemma
buffer|s buffers buffered buffering,bufferten|buffertar buffert buffrad buffrande,,invalid characters in lemma
bulletin boards,,,no translation
bundle|s bundled,bunta|r buntade,,invalid characters in lemma
burst|s bursty,skur|ar skurvis,,invalid characters in lemma
business model canvas,,,no translation
business process modelling notation,,,no translation
cable|s,kabel|kablar,,invalid characters in lemma
cache attack,,,no translation
cacheability,,,no translation
cache|s cached caching,cachen|cachar/mellanlagring cachad cachelagring,,invalid characters in lemma
caching gain,,,no translation
calendar|s calendaring,kalender|kalendrar kalandrering,,invalid characters in lemma
call processing language,,,no translation
caller callers,uppringande part/parter,,invalid characters in lemma
camera|s,kamera|kameror,,invalid characters in lemma
campus|capmuses,campus|campi,,invalid characters in lemma
cancel|s,avboka/avbryter,,invalid characters in lemma
candidate|s,kandidat|kandidater,,invalid characters in lemma
capacitor|s,kondensator|kondensatorer,,invalid characters in lemma
card|s,kort,,invalid characters in lemma
carefully,noggrant/försiktigt,,invalid characters in lemma
carrier carriers,nätgrossist/stamnätsoperatör/operatör,,invalid characters in lemma
carry carrying carried,"""bär/bära """"som bär"""" genom/buren""",,invalid characters in lemma
cascading style sheets,,,no translation
cause causes causing,"""orsaka orsaker """"som orsakar""""""",,invalid characters in lemma
cease|s,upphör/upphöra,,invalid characters in lemma
cellular architecture (e.g.,cellulär arkitektur,,invalid characters in lemma
cellular arrays and automata,,,no translation
centralization/decentralization,centralisering/decentralisering,,invalid characters in lemma
certification and testing,,,no translation
challenge challenges challenged,utmana/utmaning utmanar/utmaningar utmanade,,invalid characters in lemma
chance|s,chans|chanser,,invalid characters in lemma
change changes changing changed changeable,förändra/förändring förändra/förändringar föränderlig förändrade/förändrats föränderlig,,invalid characters in lemma
channel|s,kanal|er,,invalid characters in lemma
chaotic systems,,,no translation
character|s,karaktär|tecken,,invalid characters in lemma
charging/billing,fakturera,,invalid characters in lemma
chebyshev approximation and theory,,,no translation
checkpoint/restart,kontrollstation/återstart,,invalid characters in lemma
chipset|s,kretsuppsättning|kretsuppsättningar,,invalid characters in lemma
chip|s,chip,,invalid characters in lemma
choose|s chosen,välja/väljer valda,,invalid characters in lemma
civil,civila/medborgerlig,,invalid characters in lemma
claim claims claimed,kräva/krav kräver/kraven hävdade,,invalid characters in lemma
class invariants,,,no translation
classes defined by grammars or automata (e.g.,,,no translation
classes defined by resource-bounded automata,,,no translation
client/server,klient-server,,invalid characters in lemma
client/server programming,klient/server-programmering,,invalid characters in lemma
client|s,klient|er,,invalid characters in lemma
clock|s clocking,klocka|klockor klockning,,invalid characters in lemma
close closed,stäng/klara stängd,,invalid characters in lemma
cloud computing,datormoln/databehandling i molnet,,invalid characters in lemma
cloud data management interface,,,no translation
cloud service/cloud services,molntjänst/molntjänster,,invalid characters in lemma
cloud|s,molnet|moln,,invalid characters in lemma
clustering,klustring/gruppering,,invalid characters in lemma
cluster|s clustered clustering,"""kluster/""""samlas i klunga"""" kluster klustrade klustring""",,invalid characters in lemma
coder/decoder,kodare / avkodare,,invalid characters in lemma
collaboration,samarbete/utökad samverkan,,invalid characters in lemma
collaborative computing,,,no translation
collaborative learning,,,no translation
collect collects collecting collected collecting,samla samlar samla uppsamlades uppsamling/samlande,,invalid characters in lemma
collection,,,no translation
combat,strid/bekämpa,,invalid characters in lemma
combinatorial algorithms,,,no translation
combinatorics,,,no translation
combined,kombinerad/samverkande,,invalid characters in lemma
command|s,kommando|n,,invalid characters in lemma
commercial services,,,no translation
commit,begå/överlämna,,invalid characters in lemma
commitment,åtagande/engagemang,,invalid characters in lemma
committee|s,utskott|kommittéer,,invalid characters in lemma
common gateway interface,,,no translation
community communities,gemenskap/samfundet samhällen,,invalid characters in lemma
complete|s completion completed completely,fullständig fullborda/komplettera fullbordan avslutats helt,,invalid characters in lemma
complicate|s,komplicera|r,,invalid characters in lemma
component|s,komponent|er,,invalid characters in lemma
computability theory,,,no translation
computability theory,,,no translation
computation of transforms (e.g.,beräkning av transformer,,invalid characters in lemma
computational logic,,,no translation
computer arithmetic,,,no translation
computer conferencing,,,no translation
computer-aided engineering,datorstödd ?,,invalid characters in lemma
computer-assisted instruction,,,no translation
computer-managed instruction,,,no translation
computer-supported cooperative work,,,no translation
computer|s computed compute computation computations computing,dator|er beräknas beräkna beräknings beräkningar databehandling,,invalid characters in lemma
concentration,koncentration/koncentrering,,invalid characters in lemma
concept|s,koncept begreppen,,invalid characters in lemma
concern concerns concerning,angå/beröra/gälla oro/bekymmer angående,,invalid characters in lemma
conditioning,,,no translation
conditioning,,,no translation
conference|s,konferens|er,,invalid characters in lemma
congestion congested,trängsel/stockning belastade,,invalid characters in lemma
conjunction,,,no translation
connection connections connect connected connectivity connecting,anknytning/anslutning kopplingar anknyta ansluter,,invalid characters in lemma
connection machines,,,no translation
connector|s,kontakt|kontaktdon,,invalid characters in lemma
conserve,bevara/spara,,invalid characters in lemma
consists consistent consisting,består konsekvent/överensstämmande/förenlig bestående,,invalid characters in lemma
constrained application protocol,,,no translation
consume|s consumption,konsumera förbrukar förbrukning,,invalid characters in lemma
content analysis and indexing,,,no translation
content delivery network,,,no translation
content provider/content providers,innehållsleverantören/innehållsleverantörer,,invalid characters in lemma
context,kontext/sammanhang,,invalid characters in lemma
context awareness/context-aware,kontextmedvetenhet,,invalid characters in lemma
contingency table analysis,,,no translation
continually,kontinuerligt/oavbrutet,,invalid characters in lemma
continuation  methods,,,no translation
control controls controlling controlled controller,"""styr kontroller """"som styr"""" styrd regulator""",,invalid characters in lemma
control primitives,,,no translation
control structure performance analysis and design aids,styrstrukturer: hjälpmedel för prestandaanalys och konstruktion,,invalid characters in lemma
control structure reliability,styrstrukturer: tillförlitlighet,,invalid characters in lemma
controller area network,,,no translation
controller area network  to ethernet converter,,,no translation
controller area network bus,,,no translation
convergence,,,no translation
convergence and stability,,,no translation
convex programming,,,no translation
convey,förmedla/överföra,,invalid characters in lemma
coordinate|s,koordinat|koordinater,,invalid characters in lemma
copy copies copied copying,kopiera/kopia kopior kopierar kopierade kopiering,,invalid characters in lemma
copyright|s,upphovsrätt,,invalid characters in lemma
coroutines,,,no translation
correlation and regression analysis,,,no translation
correlation/correlation,korrelation/korrelationer,,invalid characters in lemma
cost estimation,kostnadsberäkning/uppskattning,,invalid characters in lemma
cost/performance,kostnad/prestanda,,invalid characters in lemma
counting problems,,,no translation
course|s,kurs|er,,invalid characters in lemma
cracking,krackning/sprickbildning,,invalid characters in lemma
cross-site request forgery,,,no translation
culture|s,kultur|er,,invalid characters in lemma
current awareness systems,,,no translation
customer value,kundnytta/kundvärde,,invalid characters in lemma
customer|s,kund|er,,invalid characters in lemma
cycle/cycles,cykel/cykeler,,invalid characters in lemma
data abstraction,dataabstraktion/abstraktion av data,,invalid characters in lemma
data dictionary/directory,,,no translation
data mining,datautvinning/informationsutvinning/data mining,,invalid characters in lemma
data models,,,no translation
data sharing,,,no translation
data translation,,,no translation
data warehouse and repository,,,no translation
data-parallel,,,no translation
data-path design,,,no translation
database  programming languages,,,no translation
database administration,,,no translation
database machines,,,no translation
database management,,,no translation
datagram congestion control protocol,,,no translation
deadline,,,no translation
deadlock avoidance,,,no translation
deal dealing,erbjuda/erbjudande/överenskommelse erbjuder,,invalid characters in lemma
decapsulates,,,no translation
decide|s decided deciding,besluta beslutar beslutat beslutar,,invalid characters in lemma
decision problems,,,no translation
decision problems,,,no translation
decision support (e.g.,,,no translation
deduction (e.g.,deduktion (t.ex. naturlig,,invalid characters in lemma
delay equations,,,no translation
deployment|s,spridning distributioner,,invalid characters in lemma
design designed,design/konstruktion utformad,,invalid characters in lemma
design designed,utforma/konstruktion utformad,,invalid characters in lemma
design methodology,designmetodik/konstruktionsmetodik,,invalid characters in lemma
design styles (c.1.1,designmodeller,,invalid characters in lemma
destinating,,,no translation
detect|s detection detectable detected,detektera upptäcker detekterings detekterbar detekteras,,invalid characters in lemma
determinants,,,no translation
device/devices,enhet/enheter,,invalid characters in lemma
dial dials dialed dialing,"""ringa """"ringer upp"""" uppringda uppringning""",,invalid characters in lemma
dial over data,,,no translation
dial-up,slå-up???,,invalid characters in lemma
dictionaries,,,no translation
difference formulas,,,no translation
differential-algebraic equations,,,no translation
digital libraries,,,no translation
digital object identifier,,,no translation
digital signal processor/digital signal processing,signalprocessor/digital signalbehandling,,invalid characters in lemma
direct mode operation,,,no translation
directive,direktivet/direktiv,,invalid characters in lemma
directory,katalog/adresskalender,,invalid characters in lemma
disadvantage|s,nackdel|ar,,invalid characters in lemma
disconnect|s disconnected disconnection disconnecting,"""bortkopplings """"kopplar ner"""" frånkopplad urkoppling """"koppla bort""""""",,invalid characters in lemma
discover discovering,"""upptäcka """"att upptäcka""""""",,invalid characters in lemma
discovery,upptäckten/fynd,,invalid characters in lemma
discrete mathematics,,,no translation
disposal,bortskaffande/förfogande,,invalid characters in lemma
dissemination,,,no translation
distinguish,,,no translation
distributed databases,,,no translation
distributed distributing distribution,distribuerad distribuerar/fördelar fördelning,,invalid characters in lemma
distributed systems,,,no translation
distributed/network graphics,distribuerad/nätöverförd grafik,,invalid characters in lemma
distribution functions,,,no translation
divulge|s,avslöja avslöjar,,invalid characters in lemma
document and text processing (h.4,dokument och textbehandling (h.4,,invalid characters in lemma
document object model,,,no translation
documentation,,,no translation
domain decomposition methods,,,no translation
domain engineering,,,no translation
domain name system security extensions,,,no translation
dot gain,punktförstoring/tonala värdeökning,,invalid characters in lemma
download downloads downloaded,"""""""ladda ner""""/nerladda nedladdningar nedladdade""",,invalid characters in lemma
duplicate|s,duplicera dubbletter,,invalid characters in lemma
duration durations,dubblett/duration löptider,,invalid characters in lemma
dynamic network analysis tool,,,no translation
dynamic|s dynamic,dynamik dynamik dynamiskt,,invalid characters in lemma
easy easier easily,lätt/enkel lättare lätt,,invalid characters in lemma
ediscovery/e-discovery,,,no translation
education,undervisning/utbildning,,invalid characters in lemma
education for sustainable development,utbildning för hållbar utveckling/lärande för hållbar utveckling,,invalid characters in lemma
eeprom,,,no translation
efficiency,,,no translation
efficiency,effektivisering/effektivitet,,invalid characters in lemma
effortlessly,"""""""utan ansträngning""""""",,invalid characters in lemma
eigenvalues and eigenvectors,,,no translation
electronic mail,,,no translation
electronic publishing (h.5.4,elektronisk publicering (h.5.4,,invalid characters in lemma
elementary function approximation,,,no translation
elicitation methods (e.g.,framlockningsmetoder (t.ex. prototypsystem,,invalid characters in lemma
elliptic equations,,,no translation
emergency emergencies emerging,"""""""akut nödsituation"""" """"akuta nödsituationer"""" """"under utveckling""""""",,invalid characters in lemma
emobility,,,no translation
end ends ended,slut/ände slutar slutade,,invalid characters in lemma
end users/employees/people,slutanvändare / anställda / personer,,invalid characters in lemma
end-to-end,"""""""ändpunkt till ändpunkt""""/obruten""",,invalid characters in lemma
engineer|s engineering engineered,ingenjör|er ingenjörs ???,,invalid characters in lemma
engine|s,motor|er,,invalid characters in lemma
enhanced data rates for gsm evolution,,,no translation
enhancement|s,förbättring förbättringar,,invalid characters in lemma
enlighted,,,no translation
enter|s entered entering,"""ange inträder angett """"kommer in""""""",,invalid characters in lemma
environment|s,miljö|er,,invalid characters in lemma
equal,lika/jämlik/motsvara,,invalid characters in lemma
equal interval integration,,,no translation
equipment,,,no translation
ergonomics,,,no translation
ericssons business communication suite,,,no translation
erroneous,felaktig/oriktig,,invalid characters in lemma
error analysis,,,no translation
error analysis,,,no translation
error analysis,,,no translation
error analysis,,,no translation
error analysis,,,no translation
escrow escrowed,spärrade/depositionsavtal,,invalid characters in lemma
ethernet (e.g.,ethernet,,invalid characters in lemma
evaluation/methodology,,,no translation
evaluation/methodology,,,no translation
evaluation/methodology,,,no translation
exceed|s exceeding,överstiga överstiger överstigande,,invalid characters in lemma
exchange exchanges exchanged exchanging,växel/utbyte utbyte utbyts utbyte,,invalid characters in lemma
excreters,,,no translation
expect|s expected expectation,förvänta|r förväntas förväntan,,invalid characters in lemma
experimental design,,,no translation
experiment|s experimental experimented,experimentet experiment experimentell experimente,,invalid characters in lemma
expressions and their representation (e.1,uttryck och deras representation (e.1,,invalid characters in lemma
extensibility,utsträckbarhet/töjbarhet,,invalid characters in lemma
extensible languages,uttänjbara/utsträckbara språk,,invalid characters in lemma
extensible markup language,,,no translation
extensible service protocol,,,no translation
extent,utsträckning/omfattning,,invalid characters in lemma
extract,,,no translation
extract|s,extrakt/extrahera,,invalid characters in lemma
extrapolation,,,no translation
facilitate|s facilitating,underlätta underlättar underlättande,,invalid characters in lemma
fast fourier transforms,,,no translation
fast-flux,,,no translation
fault|s,fel,,invalid characters in lemma
feature extraction,,,no translation
feature|s featured featuring,"""särdrag särdrag skiss """"som presenterar""""""",,invalid characters in lemma
federation,federation/förbund,,invalid characters in lemma
file carving,,,no translation
file distribution system,,,no translation
file fragmentation,,,no translation
file organization,,,no translation
files (4.3,filer (4.3,,invalid characters in lemma
filter|s filter  filtering,filtret|filter filtrering filtrera,,invalid characters in lemma
financial (e.g.,finanssektor,,invalid characters in lemma
fingerprinting,,,no translation
finite difference methods,,,no translation
finite difference methods,,,no translation
finite difference methods,,,no translation
finite element methods,,,no translation
finite volume methods,,,no translation
firefox plugin,,,no translation
firmware applications,,,no translation
firmware support of operating systems/instruction sets,stöd för operativsystem/instruktionsuppsättningar via fasta program,,invalid characters in lemma
fixed,fast/fixerad,,invalid characters in lemma
flash crowd/flash mob/flashmob,flash mob,,invalid characters in lemma
float,,,no translation
flow flows flowing,"""flöda/flöde flödar/flöden """"som flyter""""""",,invalid characters in lemma
fluids,fluider/vätska,,invalid characters in lemma
focus focuses focused,fokuser/fokus fokuserar fokuserade,,invalid characters in lemma
foreign,utländsk/främmande/utrikes-,,invalid characters in lemma
formal definitions and theory (2.1,formella definitioner och teori (2.1,,invalid characters in lemma
formal models,,,no translation
former formerly,tidigare förut/fordom/förr,,invalid characters in lemma
forward forwards forwarding forwarded,vidarebefordra/eftersända/omdirigera,,invalid characters in lemma
forward-time central-space,,,no translation
foundation,fundamentet/stiftelse,,invalid characters in lemma
fractional fourier transform,,,no translation
fragment|s fragmented,fragmentet|fragmenten/fragment fragmenterad,,invalid characters in lemma
fredholm equations,,,no translation
freeconomics,,,no translation
freeware/shareware,gratisprogram/spridprogram,,invalid characters in lemma
frequency-division/time-division,frekvensdelning / tidsuppdelad,,invalid characters in lemma
from/to,från / till,,invalid characters in lemma
front,främre/främsta,,invalid characters in lemma
functional constructs,,,no translation
fusion,fusion/sammansmältning/sammanslagning/samgående,,invalid characters in lemma
fxml,,,no translation
game games gaming,spelet/spel spel spelande,,invalid characters in lemma
gaussian quadrature,,,no translation
general literary works (e.g.,allmän litterär produktion (t.ex. skönlitteratur,,invalid characters in lemma
general packet radio service,,,no translation
general-purpose graphics processing unit,,,no translation
generalized multi-protocol label switching,,,no translation
generate|s generated generating generator,generera genererar genereras genererings generator,,invalid characters in lemma
generating functions,,,no translation
generic bootstrapping architecture,,,no translation
generic bootstrapping architecture  digest,,,no translation
generic ericsson processor boards,,,no translation
generic generate generations generates generated generally generating generation general,"""generiska genererar generationer genererar genereras """"i allmänhet"""" alstring generation allmän""",,invalid characters in lemma
generic security service application program interface,,,no translation
genie,genie/ande,,invalid characters in lemma
geopriv,,,no translation
glitchless,,,no translation
global b2b in ict industry,,,no translation
global positioning system,,,no translation
gnu radio,,,no translation
golf swing analysis,,,no translation
gprs/edge,,,no translation
gradient methods,,,no translation
gradient|s,gradient gradienter,,invalid characters in lemma
grammar types (e.g.,,,no translation
grammars and other rewriting systems,,,no translation
grant,bidrag/bevilja,,invalid characters in lemma
graph algorithms,,,no translation
graph labeling,,,no translation
graph theory,,,no translation
graphical user interfaces,,,no translation
graphics systems (c.2.1,grafiska system (c.2.1,,invalid characters in lemma
grid computing,,,no translation
group and organization interfaces,,,no translation
group casting (multicasting?,flersändning/multisändning,,invalid characters in lemma
groupe spécial mobile,globalt system för mobil kommunikation,,invalid characters in lemma
groupware,,,no translation
gsm edge radio access network,,,no translation
hadoop distributed file system,,,no translation
handed,,,no translation
handicapped persons/special needs,handikappade personer/speciella behov,,invalid characters in lemma
handler|s,hanterare,,invalid characters in lemma
haptic i/o,,,no translation
hardware/software interfaces,maskin- och programvarugränssnitt,,invalid characters in lemma
hardware/software protection,skydd för maskinvara och program,,invalid characters in lemma
hashmap,,,no translation
headset|s,hörlurar,,invalid characters in lemma
healthcare,vård/sjukvård,,invalid characters in lemma
hence,följaktligen/därför/,,invalid characters in lemma
heterogeneous databases,,,no translation
heuristic|s,heuristisk heuristki,,invalid characters in lemma
hibernate,ide/övervintra,,invalid characters in lemma
hibernate query language,,,no translation
hidden line/surface removal,borttagning av skymda linjer och ytor,,invalid characters in lemma
high highly,hög högeligen/stark,,invalid characters in lemma
high speed line,,,no translation
high speed packet access,,,no translation
high-speed (e.g.,höghastighet (t.ex. fddi,,invalid characters in lemma
high-speed downlink packet access,,,no translation
high-speed downlink shared channel,,,no translation
home networking/home networks,hemnätverk,,invalid characters in lemma
home subscriber server,,,no translation
home surveillance/monitoring system,hem övervakning / övervakningssystem,,invalid characters in lemma
home|s,hem,,invalid characters in lemma
hops/s,hoppar / s,,invalid characters in lemma
hospital hospitalized,"""sjukhus """"på sjukhus""""""",,invalid characters in lemma
hotspot|s,surfzone surfzoner,,invalid characters in lemma
human factors,,,no translation
human information processing,,,no translation
human resource management system,,,no translation
hybrid thickness client application,,,no translation
hyperbolic equations,,,no translation
hypergraphs,,,no translation
hypertext markup language,,,no translation
hypertext navigation and maps,,,no translation
hypertext transfer protocol,,,no translation
hypertext transfer protocol secure,,,no translation
hypertext/hypermedia,hypertext/hypermedier,,invalid characters in lemma
hypertext/hypermedia (i.7,,,no translation
idea ideas,idé idéer,,invalid characters in lemma
image rejection,,,no translation
image|s imaging,bild bilder avbildning,,invalid characters in lemma
impact|s,påverkan,,invalid characters in lemma
impairment|s,njurfunktion nedsättningar,,invalid characters in lemma
improvement/improvements,förbättring/förbättringer,,invalid characters in lemma
impulse|s,impuls impulser,,invalid characters in lemma
in-memory,,,no translation
in/out,in / ut,,invalid characters in lemma
indexing methods,,,no translation
indoor|s,inomhus,,invalid characters in lemma
information browsers,,,no translation
information hiding,,,no translation
information interfaces and presentation (e.g.,,,no translation
information management system,,,no translation
information networks,,,no translation
information storage,,,no translation
information storage and retrieval,,,no translation
information theory,,,no translation
