id,eng_lemma,swe_lemma,status,pos,src
ACM1474,,,bronze,N?,ACM
ICT2078,,,bronze,N?,ICT
ICT2354,,,bronze,N?,ICT
ICT2757,,,bronze,N?,ICT
ICT2,graphical modeling project,,bronze,N?,ICT
ICT1189,federal information processing standards,,bronze,N?,ICT
ACM1475,* indicates that the classification is no longer used as of january 1991,,bronze,N?,ACM
ACM1476,** indicates that the classification is no longer used as of january 1998,,bronze,N?,ACM
ICT17,3-tier web,,bronze,N?,ICT
ICT15,3rd generation partnership project,,bronze,N?,ICT
ICT16,3rd generation partnership project,,bronze,N?,ICT
ICT19,6lowpan,,bronze,N?,ICT
ICT3,[fips-201] personal identity verification,,bronze,N?,ICT
ICT27,abstract syntax notation.one,,bronze,N?,ICT
ACM871,abstracting methods,,bronze,N?,ACM
ACM832,access methods,,bronze,N?,ACM
ICT55,active management technology,,bronze,N?,ICT
ACM704,adaptive and iterative quadrature,,bronze,N?,ACM
ICT72,advanced encryption standard,,bronze,N?,ICT
ICT73,advanced metering infrastructure,,bronze,N?,ICT
ICT87,aggregator,,bronze,N?,ICT
ACM655,algebraic language theory,,bronze,N?,ACM
ACM800,algorithm design and analysis,,bronze,N?,ACM
ICT104,all digital phase-locked loop,,bronze,N?,ICT
ACM478,allocation/deallocation strategies,,bronze,N?,ACM
ICT118,amazon elastic compute cloud application programming interface,,bronze,N?,ICT
ICT131,analogical reasoning in computer concept,,bronze,N?,ICT
ACM930,animations,,bronze,N?,ACM
ACM680,approximation,,bronze,N?,ACM
ACM681,approximation of surfaces and contours,,bronze,N?,ACM
ACM966,architectures,,bronze,N?,ACM
ACM206,array and vector processors,,bronze,N?,ACM
ICT177,arrayed waveguide grating,,bronze,N?,ICT
ACM931,artificial,,bronze,N?,ACM
ACM346,assertion checkers,,bronze,N?,ACM
ICT196,asymmetric digital subscriber line,,bronze,N?,ICT
ACM957,asynchronous interaction,,bronze,N?,ACM
ACM932,audio input/output,,bronze,N?,ACM
ACM937,auditory  feedback,,bronze,N?,ACM
ACM705,automatic differentiation,,bronze,N?,ACM
ICT259,baseboard management controller,,bronze,N?,ICT
ACM938,benchmarking,,bronze,N?,ACM
ICT289,big data,,bronze,N?,ICT
ICT299,bit error rate,,bronze,N?,ICT
ICT312,boro method,,bronze,N?,ICT
ICT316,bottom up innovation,,bronze,N?,ICT
